City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Marang,MY,81.1,broken clouds,5.2056,103.2059,DBarakah Homestay
2,Panuco,MX,84.29,few clouds,22.05,-98.1667,Hotel Plaza
10,Rikitea,PF,78.55,clear sky,-23.1203,-134.9692,People ThankYou
17,Ixtapa,MX,78.03,broken clouds,20.7,-105.2,hotel la terminal
26,Hilo,US,77.29,mist,19.7297,-155.09,Hilo Hawaiian Hotel
27,Vaini,TO,80.98,overcast clouds,-21.2,-175.2,Keleti Beach Resort
33,Kavieng,PG,85.57,broken clouds,-2.5744,150.7967,Nusa Island Retreat
34,Atuona,PF,79.65,clear sky,-9.8,-139.0333,Villa Enata
35,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Dingle,PH,80.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
49,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
50,Sohag,EG,86.45,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
51,Barahona,DO,76.57,scattered clouds,18.2085,-71.1008,Hotel Caribe
54,Butaritari,KI,82.08,few clouds,3.0707,172.7902,Isles Sunset Lodge
57,Barmer,IN,76.1,few clouds,25.75,71.3833,Jain Dharamshala
59,La Asuncion,VE,78.15,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
60,Auki,SB,83.07,overcast clouds,-8.7676,160.7034,Auki Motel
61,Hithadhoo,MV,82.87,broken clouds,-0.6,73.0833,Scoop Guest House
63,Souillac,MU,77.56,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
64,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
67,Narasannapeta,IN,78.89,broken clouds,18.4167,84.05,AVK events and catering
69,Mahibadhoo,MV,83.8,overcast clouds,3.7833,72.9667,Omadhoo Inn
73,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
75,Acapulco,MX,83.16,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
84,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
93,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
102,Belmonte,BR,77.4,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
103,Iberia,US,79.09,few clouds,29.9502,-91.7507,back to back rv park
104,Kyaikkami,MM,82.29,scattered clouds,16.08,97.5675,St. joseph catholic church
108,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
110,Isangel,VU,82.69,moderate rain,-19.55,169.2667,Tanna Lodge
111,Sao Jose Da Coroa Grande,BR,79.05,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
113,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Siocon,PH,81.75,broken clouds,7.7061,122.1353,ABS Hotel
119,Grand-Lahou,CI,76.77,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
122,Kattivakkam,IN,85.06,broken clouds,13.2167,80.3167,Euronova Freezer
126,Lorengau,PG,83.08,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
129,Sur,OM,86.04,clear sky,22.5667,59.5289,Sur Plaza Hotel
139,Puerto Cabezas,NI,79.57,clear sky,14.0351,-83.3888,Cabaña Caribe
143,Jibuti,DJ,75.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
150,Upata,VE,75.92,scattered clouds,8.0086,-62.3989,Posada Villa Nela
158,Robinson,US,82.4,clear sky,31.4677,-97.1147,Flat Creek Farms RV Resort
159,Carutapera,BR,76.37,overcast clouds,-1.195,-46.02,Lidera
165,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
168,Bara,NG,84.54,light rain,10.3744,10.7288,
171,Port Moresby,PG,83.77,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
173,Luganville,VU,85.98,light rain,-15.5333,167.1667,The Espiritu Hotel
174,Mayumba,GA,77.11,overcast clouds,-3.432,10.6554,LIKWALE LODGE
181,Clearwater,US,81.03,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
182,Caravelas,BR,78.03,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
185,Labuhan,ID,81.54,broken clouds,-6.8844,112.2051,DoubleFAG
195,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
196,Bengkulu,ID,76.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
197,Takoradi,GH,78.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
200,Tomatlan,MX,80.91,broken clouds,19.9333,-105.25,El Salvial
202,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
204,Mogadishu,SO,82.36,overcast clouds,2.0371,45.3438,Hotel Juba
208,Kavaratti,IN,82.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
212,Veraval,IN,78.48,clear sky,20.9,70.3667,Lords Inn Somnath
213,Poum,NC,75.61,overcast clouds,-20.2333,164.0167,
220,Ignacio Zaragoza,MX,79.45,scattered clouds,28.3833,-107.2167,
223,West Bay,KY,82.08,clear sky,19.3667,-81.4167,Calypso Cove
228,San Pedro,PH,84.31,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
229,Sorong,ID,83.97,broken clouds,-0.8833,131.25,Waigo Splash Hotel
230,Katobu,ID,79.47,overcast clouds,-4.9408,122.5276,La Ode Husein
233,Kualakapuas,ID,79.65,overcast clouds,-3.0091,114.3876,Guest House Izonk
237,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
241,Hervey Bay,AU,77.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
245,Kpandae,GH,83.89,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
250,Aitape,PG,83.73,moderate rain,-3.1374,142.3475,
253,Kaliganj,BD,79.3,broken clouds,23.4095,89.1402,Hasnat Palace
254,Mitsamiouli,KM,81.21,clear sky,-11.3847,43.2844,Foyer ADM
257,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
264,San Patricio,US,86.09,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
265,Murwara,IN,81.97,clear sky,23.85,80.4,HOTEL BRIJWASI ROYAL
267,Axim,GH,79.11,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
268,Gamba,GA,77.31,overcast clouds,-2.65,10.0,
271,Bousso,TD,89.53,broken clouds,10.4795,16.7117,
277,Harper,LR,77.94,overcast clouds,4.375,-7.7169,Screensaver
278,Meulaboh,ID,77.61,overcast clouds,4.1363,96.1285,Kost Pria
281,Maumere,ID,82.6,overcast clouds,-8.6199,122.2111,Sylvia Hotel
282,Katsina,NG,87.89,overcast clouds,12.9894,7.6006,Katsina Motel
283,Chake Chake,TZ,77.47,light rain,-5.2459,39.7666,Hotel Archipelago
287,Kirakira,SB,85.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
292,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
296,Arlit,NE,75.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
298,Nieuw Amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Hotel Stardust
300,Port Keats,AU,84.99,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
306,Akyab,MM,80.91,broken clouds,20.15,92.9,Hotel Memory
309,Kroya,ID,80.26,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
321,Lazaro Cardenas,MX,79.27,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
322,Iracoubo,GF,77.25,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
323,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
327,Nuzvid,IN,78.69,scattered clouds,16.7833,80.85,HI-TECH LODGE
330,Gangoh,IN,76.66,few clouds,29.7667,77.25,Inspection Benglo
333,Gat,IL,86.68,few clouds,31.61,34.7642,OlusHome
336,Piacabucu,BR,79.95,few clouds,-10.4056,-36.4344,Piaçabuçu News
344,Vieques,PR,79.11,smoke,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
349,Bonthe,SL,78.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
350,La Brea,HN,77.86,scattered clouds,15.8,-85.9667,Hotel reynita
351,Tautira,PF,81.32,light rain,-17.7333,-149.15,Pension Oaoa
354,Bang Saphan,TH,79.07,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
356,Manavalakurichi,IN,80.08,broken clouds,8.1333,77.3,Jebinrio home
359,Cockburn Town,TC,77.99,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
362,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
365,Waingapu,ID,81.64,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
366,Manggar,ID,81.55,scattered clouds,-2.8833,108.2667,Guest Hotel
