City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
0,Marang,5.2056,103.2059,81.1,78,59,1.52,MY,2022-04-18 00:03:39,broken clouds
1,Yellowknife,62.456,-114.3525,19.92,49,20,8.05,CA,2022-04-17 23:59:02,few clouds
2,Panuco,22.05,-98.1667,84.29,64,17,16.04,MX,2022-04-18 00:03:40,few clouds
3,Ushuaia,-54.8,-68.3,46.06,93,100,16.11,AR,2022-04-17 23:59:40,moderate rain
4,Castro,-24.7911,-50.0119,52.02,96,8,4.34,BR,2022-04-18 00:01:28,clear sky
5,Puerto Ayora,-0.7393,-90.3518,74.41,95,93,9.37,EC,2022-04-18 00:03:40,light rain
6,Canton,23.1167,113.25,60.75,77,100,5.86,CN,2022-04-18 00:01:04,overcast clouds
7,Qaanaaq,77.484,-69.3632,-18.6,76,1,4.45,GL,2022-04-18 00:03:41,clear sky
8,Pevek,69.7008,170.3133,9.52,85,34,1.68,RU,2022-04-18 00:03:41,scattered clouds
9,Talnakh,69.4865,88.3972,4.21,96,100,4.56,RU,2022-04-18 00:03:41,light snow
10,Rikitea,-23.1203,-134.9692,78.55,63,3,11.43,PF,2022-04-18 00:00:51,clear sky
11,Chuy,-33.6971,-53.4616,62.26,78,100,6.87,UY,2022-04-18 00:03:42,overcast clouds
12,Albany,42.6001,-73.9662,42.64,57,59,4.0,US,2022-04-17 23:59:44,broken clouds
13,Ponta Do Sol,32.6667,-17.1,66.83,54,93,12.21,PT,2022-04-18 00:03:42,overcast clouds
14,Cape Town,-33.9258,18.4232,62.35,79,66,13.0,ZA,2022-04-18 00:00:23,broken clouds
15,Bredasdorp,-34.5322,20.0403,60.22,92,81,4.72,ZA,2022-04-18 00:00:48,broken clouds
16,Sioux Lookout,50.1001,-91.917,24.87,86,100,8.05,CA,2022-04-18 00:00:21,mist
17,Ixtapa,20.7,-105.2,78.03,69,75,8.05,MX,2022-04-18 00:03:43,broken clouds
18,Dikson,73.5069,80.5464,-7.26,100,93,2.46,RU,2022-04-18 00:03:43,overcast clouds
19,Upernavik,72.7868,-56.1549,-2.56,89,100,13.13,GL,2022-04-18 00:02:30,overcast clouds
20,Yurla,59.3259,54.3223,18.81,94,46,1.92,RU,2022-04-18 00:03:44,scattered clouds
21,Khatanga,71.9667,102.5,6.3,95,98,13.18,RU,2022-04-18 00:03:44,overcast clouds
22,North Platte,41.1239,-100.7654,60.69,29,100,21.0,US,2022-04-18 00:03:44,overcast clouds
23,Mataura,-46.1927,168.8643,60.48,53,2,2.91,NZ,2022-04-18 00:02:15,clear sky
24,Tilichiki,60.4667,166.1,23.18,81,36,6.55,RU,2022-04-18 00:03:45,scattered clouds
25,Ilulissat,69.2167,-51.1,14.02,73,40,5.75,GL,2022-04-18 00:00:35,scattered clouds
26,Hilo,19.7297,-155.09,77.29,92,100,1.99,US,2022-04-18 00:00:41,mist
27,Vaini,-21.2,-175.2,80.98,79,99,13.78,TO,2022-04-18 00:01:16,overcast clouds
28,Guaraciaba Do Norte,-4.1669,-40.7475,65.41,96,99,2.46,BR,2022-04-18 00:03:45,light rain
29,Hasaki,35.7333,140.8333,64.29,67,73,11.21,JP,2022-04-18 00:03:45,broken clouds
30,Manosque,43.8288,5.7869,45.88,79,6,2.82,FR,2022-04-18 00:03:46,clear sky
31,Riyadh,24.6877,46.7219,71.78,21,0,4.74,SA,2022-04-18 00:00:02,clear sky
32,Yamada,39.4667,141.95,56.23,49,57,5.84,JP,2022-04-18 00:03:46,broken clouds
33,Kavieng,-2.5744,150.7967,85.57,66,83,14.18,PG,2022-04-18 00:03:47,broken clouds
34,Atuona,-9.8,-139.0333,79.65,78,8,17.07,PF,2022-04-18 00:03:47,clear sky
35,Mahebourg,-20.4081,57.7,75.25,87,36,11.41,MU,2022-04-18 00:01:29,light rain
36,Tuktoyaktuk,69.4541,-133.0374,15.49,83,99,8.61,CA,2022-04-18 00:03:47,overcast clouds
37,Komsomolskiy,40.4272,71.7189,67.05,30,33,0.34,UZ,2022-04-18 00:03:48,scattered clouds
38,Arraial Do Cabo,-22.9661,-42.0278,73.47,67,1,11.07,BR,2022-04-18 00:03:48,clear sky
39,Darnah,32.767,22.6367,60.1,74,0,7.67,LY,2022-04-18 00:03:48,clear sky
40,Faanui,-16.4833,-151.75,80.96,72,44,9.22,PF,2022-04-18 00:03:49,light rain
41,Bonavista,48.6499,-53.1147,37.17,99,100,15.75,CA,2022-04-18 00:03:49,overcast clouds
42,Dingle,10.9995,122.6711,80.78,78,72,10.87,PH,2022-04-18 00:03:49,broken clouds
43,Saldanha,-33.0117,17.9442,58.96,80,34,9.4,ZA,2022-04-18 00:03:50,scattered clouds
44,Nanortalik,60.1432,-45.2371,29.43,89,40,9.55,GL,2022-04-18 00:03:50,scattered clouds
45,Busselton,-33.65,115.3333,58.26,69,50,3.44,AU,2022-04-18 00:03:27,scattered clouds
46,Port Alfred,-33.5906,26.891,60.19,94,16,3.0,ZA,2022-04-18 00:02:29,few clouds
47,Hobart,-42.8794,147.3294,56.05,90,75,1.01,AU,2022-04-18 00:00:16,broken clouds
48,Saskylakh,71.9167,114.0833,28.24,97,100,11.79,RU,2022-04-18 00:04:51,light snow
49,Kununurra,-15.7667,128.7333,82.38,83,15,5.75,AU,2022-04-18 00:04:51,few clouds
50,Sohag,26.557,31.6948,86.45,11,100,6.93,EG,2022-04-18 00:04:51,overcast clouds
51,Barahona,18.2085,-71.1008,76.57,81,49,7.78,DO,2022-04-18 00:04:52,scattered clouds
52,Weinan,34.5036,109.5089,56.35,40,17,8.05,CN,2022-04-18 00:04:52,few clouds
53,Port Elizabeth,-33.918,25.5701,63.32,97,75,11.5,ZA,2022-04-18 00:00:15,moderate rain
54,Butaritari,3.0707,172.7902,82.08,73,14,12.35,KI,2022-04-18 00:01:12,few clouds
55,Ondjiva,-17.0667,15.7333,68.45,76,68,5.37,AO,2022-04-18 00:04:53,broken clouds
56,Semnan,35.5729,53.3971,50.02,52,11,6.06,IR,2022-04-18 00:04:53,few clouds
57,Barmer,25.75,71.3833,76.1,61,15,9.78,IN,2022-04-18 00:04:53,few clouds
58,Thunder Bay,48.4001,-89.3168,31.28,72,97,1.99,CA,2022-04-18 00:00:21,overcast clouds
59,La Asuncion,11.0333,-63.8628,78.15,81,100,18.54,VE,2022-04-18 00:04:54,overcast clouds
60,Auki,-8.7676,160.7034,83.07,71,94,3.42,SB,2022-04-18 00:04:54,overcast clouds
61,Hithadhoo,-0.6,73.0833,82.87,74,63,8.59,MV,2022-04-18 00:03:26,broken clouds
62,Geraldton,-28.7667,114.6,57.61,72,0,9.22,AU,2022-04-18 00:04:55,clear sky
63,Souillac,-20.5167,57.5167,77.56,88,81,12.06,MU,2022-04-18 00:04:55,light rain
64,Pochutla,15.7432,-96.4661,85.82,53,90,8.63,MX,2022-04-18 00:04:55,overcast clouds
65,Bluff,-46.6,168.3333,60.8,67,11,5.39,NZ,2022-04-18 00:01:11,few clouds
66,Gilbues,-9.8317,-45.3439,73.99,87,93,2.77,BR,2022-04-18 00:01:01,overcast clouds
67,Narasannapeta,18.4167,84.05,78.89,79,70,7.25,IN,2022-04-18 00:04:56,broken clouds
68,New Norfolk,-42.7826,147.0587,55.89,60,100,1.01,AU,2022-04-18 00:04:56,overcast clouds
69,Mahibadhoo,3.7833,72.9667,83.8,71,100,12.26,MV,2022-04-18 00:04:56,overcast clouds
70,Mar Del Plata,-38.0023,-57.5575,64.09,90,0,11.99,AR,2022-04-18 00:03:28,clear sky
71,Hermanus,-34.4187,19.2345,61.81,85,65,9.86,ZA,2022-04-18 00:03:25,broken clouds
72,Jiaozuo,35.2397,113.2331,63.14,30,16,16.13,CN,2022-04-18 00:04:57,few clouds
73,Quatre Cocos,-20.2078,57.7625,75.09,88,28,10.58,MU,2022-04-18 00:04:57,light rain
