City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kendari,ID,2022-04-17 17:41:24,-3.945,122.4989,74.35,96,100,2.28
1,Nuuk,GL,2022-04-17 17:41:24,64.1835,-51.7216,29.01,80,100,15.01
2,Carnarvon,AU,2022-04-17 17:41:24,-24.8667,113.6333,68.07,88,100,14.97
3,Yar-Sale,RU,2022-04-17 17:41:25,66.8333,70.8333,13.06,94,86,7.76
4,Paamiut,GL,2022-04-17 17:41:25,61.994,-49.6678,29.41,77,100,3.91
5,Khatanga,RU,2022-04-17 17:41:26,71.9667,102.5,7.79,96,99,11.92
6,Hasaki,JP,2022-04-17 17:41:26,35.7333,140.8333,52.29,68,58,7.58
7,Busselton,AU,2022-04-17 17:41:26,-33.65,115.3333,57.72,64,43,2.24
8,Jamestown,US,2022-04-17 17:38:16,42.097,-79.2353,38.52,45,75,11.5
9,Acarau,BR,2022-04-17 17:41:27,-2.8856,-40.12,83.84,75,65,11.41
10,Castro,BR,2022-04-17 17:41:27,-24.7911,-50.0119,67.24,51,37,1.19
11,Pergamino,AR,2022-04-17 17:41:27,-33.89,-60.5736,71.19,38,36,7.0
12,East London,ZA,2022-04-17 17:41:28,-33.0153,27.9116,63.54,100,0,2.3
13,Galle,LK,2022-04-17 17:41:28,6.0367,80.217,81.91,77,84,5.39
14,Nome,US,2022-04-17 17:41:28,64.5011,-165.4064,30.27,80,100,19.57
15,Abu Samrah,SY,2022-04-17 17:41:29,35.3029,37.1841,72.68,18,100,13.27
16,Bluff,NZ,2022-04-17 17:41:29,-46.6,168.3333,36.81,84,4,6.2
17,Dikson,RU,2022-04-17 17:41:30,73.5069,80.5464,1.18,99,97,8.99
18,Puerto Madero,MX,2022-04-17 17:41:30,14.7208,-92.4215,87.49,63,69,13.4
19,Thunder Bay,CA,2022-04-17 17:40:25,48.4001,-89.3168,28.38,69,100,5.75
20,El Alto,PE,2022-04-17 17:41:30,-4.2714,-81.2147,74.86,66,27,16.53
21,Dandong,CN,2022-04-17 17:41:31,40.1292,124.3947,49.42,63,100,5.68
22,Vaini,TO,2022-04-17 17:41:03,-21.2,-175.2,77.16,94,75,4.61
23,Noyabrsk,RU,2022-04-17 17:41:31,63.1994,75.4507,11.14,94,96,4.97
24,Kodiak,US,2022-04-17 17:41:31,57.79,-152.4072,35.11,87,100,5.75
25,Bathsheba,BB,2022-04-17 17:41:32,13.2167,-59.5167,84.81,61,75,21.85
26,Paros,GR,2022-04-17 17:41:32,37.0833,25.15,65.62,67,40,11.5
27,Yaan,NG,2022-04-17 17:41:32,7.3833,8.5667,89.62,51,61,11.79
28,Rikitea,PF,2022-04-17 17:41:33,-23.1203,-134.9692,78.22,68,2,13.02
29,Cape Town,ZA,2022-04-17 17:40:39,-33.9258,18.4232,63.1,79,0,14.0
30,Ancud,CL,2022-04-17 17:41:33,-41.8697,-73.8203,63.23,71,100,5.77
31,Cockburn Town,TC,2022-04-17 17:41:33,21.4612,-71.1419,80.56,74,75,17.27
32,Butaritari,KI,2022-04-17 17:41:34,3.0707,172.7902,81.32,75,17,11.99
33,Nemuro,JP,2022-04-17 17:41:34,43.3236,145.575,38.93,90,95,7.36
34,Calama,CL,2022-04-17 17:38:34,-22.4667,-68.9333,72.09,3,0,13.8
35,Yichang,CN,2022-04-17 17:41:35,30.7144,111.2847,54.16,81,99,2.39
36,Inuvik,CA,2022-04-17 17:41:35,68.3499,-133.7218,16.66,42,75,9.22
37,Riyadh,SA,2022-04-17 17:39:07,24.6877,46.7219,82.54,13,0,11.34
38,Pevek,RU,2022-04-17 17:41:35,69.7008,170.3133,1.96,94,99,1.86
39,Salinopolis,BR,2022-04-17 17:37:41,-0.6136,-47.3561,81.19,83,97,7.83
